S. No.,State/ UT,Surfaced Roads-Accident - 2014,Surfaced Roads- Killed - 2014,Surfaced Roads-Injured - 2014,Metalled Roads-Accident - 2014,Metalled Roads- Killed - 2014,Metalled Roads-Injured - 2014,Kutcha Roads-Accident - 2014,Kutcha Roads- Killed - 2014,Kutcha Roads-Injured - 2014,Dry road-Accident - 2014,Dry road- Killed - 2014,Dry road-Injured - 2014,Wet road-Accident - 2014,Wet road- Killed - 2014,Wet road-Injured - 2014,Good surface-Accident - 2014,Good surface- Killed - 2014,Good surface-Injured - 2014,Loose Surface-Accident - 2014,Loose Surface- Killed - 2014,Loose Surface-Injured - 2014,Rutted/Pot holes-Accident - 2014,Rutted/Pot holes- Killed - 2014,Rutted/Pot holes-Injured - 2014,Road under repair/construction-Accident - 2014,Road under repair/construction- Killed - 2014,Road under repair/construction-Injured - 2014,Corrugated/Wavy road-Accident - 2014,Corrugated/Wavy road- Killed - 2014,Corrugated/Wavy road-Injured - 2014,Slippery surface-Accident - 2014,Slippery surface- Killed - 2014,Slippery surface-Injured - 2014,Snowy-Accident - 2014,Snowy- Killed - 2014,Snowy-Injured - 2014,Muddy-Accident - 2014,Muddy- Killed - 2014,Muddy-Injured - 2014,Oily-Accident - 2014,Oily- Killed - 2014,Oily-Injured - 2014,Speed breaker-Accident - 2014,Speed breaker- Killed - 2014,Speed breaker-Injured - 2014,Others-Accident - 2014,Others- Killed - 2014,Others-Injured - 2014,Straight Road-Accidents - 2014,Straight Road-Killed - 2014,Straight Road-Injured - 2014,Slight Curve-Accidents - 2014,Slight Curve-Killed - 2014,Slight Curve-Injured - 2014,Sharp Curve-Accidents - 2014,Sharp Curve-Killed - 2014,Sharp Curve-Injured - 2014,Flat Road-Accidents - 2014,Flat Road-Killed - 2014,Flat Road-Injured - 2014,Gentle Incline-Accidents - 2014,Gentle Incline-Killed - 2014,Gentle Incline-Injured - 2014,Steep Incline-Accidents - 2014,Steep Incline-Killed - 2014,Steep Incline-Injured - 2014,Hump-Accidents - 2014,Hump-Killed - 2014,Hump-Injured - 2014,Dip-Accidents - 2014,Dip-Killed - 2014,Dip-Injured - 2014,Pucca road (Normal Road) - Number of Accidents - 2016,Pucca road (Normal Road) - Persons Killed - 2016,Pucca road (Normal Road) - Persons Injured - 2016,Kutcha road (Normal Road) - Number of Accidents - 2016,Kutcha road (Normal Road) - Persons Killed - 2016,Kutcha road (Normal Road) - Persons Injured - 2016,Pot Holes - Number of Accidents - 2016,Pot Holes - Persons Killed - 2016,Pot Holes - Persons Injured - 2016,Speed Breakers - Number of Accidents - 2016,Speed Breakers - Persons Killed - 2016,Speed Breakers - Persons Injured - 2016,Sharp Curve - Number of Accidents - 2016,Sharp Curve - Persons Killed - 2016,Sharp Curve - Persons Injured - 2016,Steep Gradient - Number of Accidents - 2016,Steep Gradient - Persons Killed - 2016,Steep Gradient - Persons Injured - 2016,Earthern Shoulder Edge Drop - Number of Accidents - 2016,Earthern Shoulder Edge Drop - Persons Killed - 2016,Earthern Shoulder Edge Drop - Persons Injured - 2016,Others - Number of Accidents - 2016,Others - Persons Killed - 2016,Others - Persons Injured - 2016
1,Andhra Pradesh,13846,4333,17323,5211,2392,4138,5383,1183,8470,22547,7255,27892,1893,653,2039,11766,3575,13642,291,113,488,282,82,424,498,171,673,82,25,136,60,14,87,29,9,45,44,15,72,0,0,0,293,80,367,11095,3824,13997,15631,4691,23436,4732,1660,4341,4077,1557,2154,20122,6217,16805,3696,1461,12330,267,76,341,93,54,121,262,100,334,16376,5468,19282,2787,930,3703,280,131,292,579,201,678,816,338,1185,144,38,189,255,145,302,3651,1290,4420
2,Arunachal Pradesh,81,43,111,73,37,97,51,39,100,114,61,157,91,58,151,17,11,38,25,21,39,28,17,34,26,17,21,10,6,19,12,5,17,8,3,14,6,2,19,27,14,29,8,5,11,38,18,67,78,43,111,66,37,100,61,39,97,50,29,78,0,0,0,69,35,76,30,27,74,56,28,80,120,73,169,33,19,49,0,0,0,9,6,17,43,29,65,0,0,0,0,0,0,44,22,91
3,Assam,4948,1631,5043,1296,548,824,900,343,632,6149,2164,5893,995,358,606,5639,2039,5344,322,119,285,17,3,23,100,37,77,33,11,7,44,14,45,5,1,3,39,5,31,24,1,40,56,20,33,865,272,611,6748,2382,6146,329,121,260,67,19,93,6791,2378,6273,197,80,137,103,43,61,48,20,25,5,1,3,4818,1649,4238,785,218,555,43,8,52,71,30,74,38,11,22,44,9,24,2,2,9,1634,645,1153
4,Bihar,5990,3184,3732,2194,1148,1601,1372,581,1307,6746,3482,4510,2810,1431,2130,3837,2018,2593,1093,579,743,494,248,355,727,367,510,373,221,251,354,200,256,96,53,74,342,180,245,65,37,47,729,352,543,1446,658,1023,5871,2957,3873,2088,1113,1445,1597,843,1322,6039,3132,4025,1307,685,977,761,400,580,569,267,399,880,429,659,4454,2771,2789,940,539,700,200,119,177,358,173,298,702,402,491,117,59,119,123,65,133,1328,773,944
5,Chhattisgarh,7248,2111,7170,4799,1301,4543,1774,610,1444,10696,2966,10373,3125,1056,2784,8730,2462,8361,1255,411,1258,114,40,98,448,114,392,71,22,108,161,49,173,43,7,36,88,23,72,44,7,45,317,45,201,2550,842,2413,10632,2974,9750,2082,679,2263,1107,369,1144,10425,3049,9856,1839,501,1725,508,161,526,298,96,353,751,215,697,9951,2759,9515,1650,547,1647,28,6,26,166,48,164,169,54,152,109,39,114,8,2,8,1499,453,1329
6,Goa,3793,267,1759,334,17,93,102,6,27,3688,263,1613,541,27,266,3832,259,1651,223,21,135,17,2,4,4,0,0,11,0,10,81,4,43,0,0,0,10,1,4,2,0,3,28,0,23,21,3,6,3108,215,1392,820,54,339,301,21,148,4037,287,1781,66,3,33,63,0,41,31,0,10,32,0,14,4298,335,2020,1,0,2,1,0,3,2,0,0,1,1,0,1,0,1,0,0,0,0,0,0
7,Gujarat,17896,5546,17157,4848,2067,4398,968,342,938,18075,5861,17665,5637,2094,4828,16155,4965,15953,3673,1562,2983,506,134,484,288,95,316,122,48,126,158,43,187,100,37,89,89,31,101,142,60,126,205,68,276,2274,912,1852,17353,5549,16664,4892,1981,4465,1467,425,1364,18856,6043,18198,3903,1650,3362,427,102,398,260,78,281,266,82,254,15654,5785,14332,2194,735,1849,306,120,359,477,158,431,406,139,493,223,79,246,218,54,191,2381,1066,2048
8,Haryana,7972,3271,7310,847,462,645,1857,750,989,9419,3620,8672,1257,863,272,8511,3403,7455,625,305,362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,203,1460,775,924,9833,3975,8582,843,508,362,0,0,0,10676,4483,8944,0,0,0,0,0,0,0,0,0,0,0,0,7570,2905,5832,1652,1024,1329,0,0,0,328,214,459,408,250,786,0,0,0,10,15,89,1266,616,2036
9,Himachal Pradesh,810,259,1618,1890,759,3213,358,181,745,2713,1052,4978,345,147,598,2356,697,4014,378,367,876,8,31,0,51,25,134,41,0,0,103,18,317,19,4,58,21,13,56,0,0,0,0,0,0,81,44,121,1887,707,3620,462,215,822,709,277,1134,2446,917,4392,386,178,824,143,57,212,36,27,62,47,20,86,2787,996,5072,221,203,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,72,242
10,Jammu & Kashmir,2350,366,3158,2576,452,3561,935,174,1324,4525,781,5930,1336,211,2113,2806,356,4262,2040,289,2864,45,15,58,27,10,36,13,3,10,504,142,247,62,20,93,171,71,191,150,69,235,43,17,47,0,0,0,2822,495,3358,851,145,1567,2188,352,3118,2111,254,2461,1910,296,2145,683,166,1036,496,97,959,661,179,1442,2530,501,3671,109,33,131,8,0,6,5,0,3,3,1,15,0,0,0,0,0,0,2846,423,3866
11,Jharkhand,3246,1565,2544,1034,449,872,921,614,940,4713,2364,3885,488,264,471,1142,577,790,255,133,205,62,26,57,301,133,300,99,60,86,86,57,61,0,0,0,76,28,65,7,6,5,275,171,278,2898,1437,2509,4572,2282,3803,341,188,354,288,158,199,4168,1962,3437,242,129,188,163,118,160,366,281,385,262,138,186,2071,1395,1255,573,319,503,200,127,211,350,212,253,395,269,299,238,95,277,233,95,162,872,515,833
12,Karnataka,31808,8354,30236,5264,743,20031,6641,1355,6564,37067,9096,50283,6646,1356,6548,31863,7614,38209,541,116,805,248,76,467,516,113,603,178,45,344,263,58,396,178,46,463,314,104,656,228,34,356,1114,227,1630,8270,2019,12902,35357,7575,34540,6137,2030,16377,2219,847,5914,35724,8149,42513,3879,815,6468,2006,391,2998,1278,677,3378,826,420,1474,26608,6830,32385,5361,1301,6359,185,37,252,668,87,867,1690,342,2526,56,20,84,15,5,10,9820,2511,12073
