States/UTs,State/UT-wise Total Number of Persons Injured in Road Accidents during - 2014,State/UT-wise Total Number of Persons Injured in Road Accidents during - 2015,State/UT-wise Total Number of Persons Injured in Road Accidents during - 2016,State/UT-wise Total Number of Persons Injured in Road Accidents during - 2017,Share of States/UTs in Total Number of Persons Injured in Road Accidents - 2014,Share of States/UTs in Total Number of Persons Injured in Road Accidents - 2015,Share of States/UTs in Total Number of Persons Injured in Road Accidents - 2016,Share of States/UTs in Total Number of Persons Injured in Road Accidents - 2017,Total Number of Persons Injured in Road Accidents Per Lakh Population - 2014,Total Number of Persons Injured in Road Accidents Per Lakh Population - 2015,Total Number of Persons Injured in Road Accidents Per Lakh Population - 2016,Total Number of Persons Injured in Road Accidents Per Lakh Population - 2017,"Total Number of Persons injured in Road Accidents per 10,000 Vehicles - 2014","Total Number of Persons injured in Road Accidents per 10,000 Vehicles - 2015","Total Number of Persons injured in Road Accidents per 10,000 Vehicles - 2016","Total Number of Persons injured in Road Accidents per 10,000 Km of Roads - 2014","Total Number of Persons injured in Road Accidents per 10,000 Km of Roads - 2015","Total Number of Persons injured in Road Accidents per 10,000 Km of Roads - 2016"
Andhra Pradesh,29931,29439,30051,27475,6.1,5.9,6.1,5.8,34.4,33.6,34,30.9,42.7,37.3,34.4,1680.6,1644.4,1723.4
Arunachal Pradesh,308,359,391,316,0.1,0.1,0.1,0.1,24,27.6,29.8,23.8,20.4,23.7,14.8,125.9,141.6,127.4
Assam,6499,7068,6127,6163,1.3,1.4,1.2,1.3,20.5,22,18.9,18.8,29.3,28.2,21.7,207.2,216.5,185.9
Bihar,6640,6835,5651,6014,1.3,1.4,1.1,1.3,6.5,6.7,5.4,5.7,15.9,14.3,10.3,316.6,331.8,273.7
Chhattisgarh,13157,13426,12955,12550,2.7,2.7,2.6,2.7,52.1,52.5,50.1,47.9,34,31.1,26.9,1391.1,1376.5,1352.2
Goa,1879,2055,2026,1922,0.4,0.4,0.4,0.4,98.1,105.2,102.5,95,18.6,19,17.5,1416.3,1405.2,1261.3
Gujarat,22493,21448,19949,16802,4.6,4.3,4,3.6,36.7,34.5,31.8,26.4,13.2,11.5,9.8,1256.2,1176.6,1113.6
Haryana,8944,10794,10531,10339,1.8,2.2,2.1,2.2,33.5,39.9,38.3,37.1,12.4,13.6,12.2,2095.4,2332,2172.1
Himachal Pradesh,5576,5108,5764,5452,1.1,1,1.2,1.2,79.9,72.6,81.2,76.2,57.2,47.4,49,1025.2,918.8,1033.7
Jammu & Kashmir,8043,8142,7692,7419,1.6,1.6,1.6,1.6,66.2,66.3,61.9,59.1,71,65.4,56.3,2056.7,2082.6,1547.2
Jharkhand,4356,4038,3793,3918,0.9,0.8,0.8,0.8,13.3,12.2,11.3,11.5,25.3,19.5,15.3,1055.8,945.6,567.9
Karnataka,56831,56971,54556,52961,11.5,11.4,11,11.2,92.8,92.2,87.5,84.2,42.6,38.5,33.5,1814.6,1770.3,1579
Kerala,41096,43735,44108,42671,8.3,8.7,8.9,9.1,116.6,123.3,123.6,119,46.8,45.3,43.4,2124.3,2244.5,2196.5
