States/UTs,State/UT-wise Total Number of Persons Killed in Road Accidents during - 2014,State/UT-wise Total Number of Persons Killed in Road Accidents during - 2015,State/UT-wise Total Number of Persons Killed in Road Accidents during - 2016,State/UT-wise Total Number of Persons Killed in Road Accidents during - 2017,Share of States/UTs in Total Number of Persons Killed in Road Accidents - 2014,Share of States/UTs in Total Number of Persons Killed in Road Accidents - 2015,Share of States/UTs in Total Number of Persons Killed in Road Accidents - 2016,Share of States/UTs in Total Number of Persons Killed in Road Accidents - 2017,Total Number of Persons Killed in Road Accidents Per Lakh Population - 2014,Total Number of Persons Killed in Road Accidents Per Lakh Population - 2015,Total Number of Persons Killed in Road Accidents Per Lakh Population - 2016,Total Number of Persons Killed in Road Accidents Per Lakh Population - 2017,"Total Number of Persons Killed in Road Accidents per 10,000 Vehicles - 2014","Total Number of Persons Killed in Road Accidents per 10,000 Vehicles - 2015","Total Number of Persons Killed in Road Accidents per 10,000 Vehicles - 2016","Total Number of Persons Killed in Road Accidents per 10,000 Km of Roads - 2014","Total Number of Persons Killed in Road Accidents per 10,000 Km of Roads - 2015","Total Number of Persons Killed in Road Accidents per 10,000 Km of Roads - 2016"
Andhra Pradesh,7908,8297,8541,8060,5.7,5.7,5.7,5.4,9.1,9.5,9.7,9.1,11.3,10.5,9.8,444,463.5,489.8
Arunachal Pradesh,119,127,149,110,0.1,0.1,0.1,0.1,9.3,9.8,11.3,8.3,7.9,8.4,5.6,48.6,50.1,48.5
Assam,2522,2397,2572,2783,1.8,1.6,1.7,1.9,8,7.5,7.9,8.5,11.4,9.6,9.1,80.4,73.4,78.1
Bihar,4913,5421,4901,5554,3.5,3.7,3.3,3.8,4.8,5.3,4.7,5.3,11.8,11.3,8.9,234.2,263.1,237.4
Chhattisgarh,4022,4082,3908,4136,2.9,2.8,2.6,2.8,15.9,16,15.1,15.8,10.4,9.5,8.1,425.3,418.5,407.9
Goa,290,311,336,328,0.2,0.2,0.2,0.2,15.1,15.9,17,16.2,2.9,2.9,2.9,218.6,212.7,209.2
Gujarat,7955,8119,8136,7289,5.7,5.6,5.4,4.9,13,13.1,13,11.5,4.7,4.3,4,444.3,445.4,454.2
Haryana,4483,4879,5024,5120,3.2,3.3,3.3,3.5,16.8,18,18.3,18.4,6.2,6.2,5.8,1050.3,1054.1,1036.3
Himachal Pradesh,1199,1096,1271,1203,0.9,0.8,0.8,0.8,17.2,15.6,17.9,16.8,12.3,10.2,10.8,220.5,197.1,227.9
Jammu & Kashmir,992,917,958,926,0.7,0.6,0.6,0.6,8.2,7.5,7.7,7.4,8.8,7.4,7,253.7,234.6,192.7
Jharkhand,2628,2893,3027,3256,1.9,2,2,2.2,8,8.7,9,9.6,15.3,14,12.2,637,677.4,453.2
Karnataka,10452,10856,11133,10609,7.5,7.4,7.4,7.2,17.1,17.6,17.8,16.9,7.8,7.3,6.8,333.7,337.3,322.2
Kerala,4049,4196,4287,4131,2.9,2.9,2.8,2.8,11.5,11.8,12,11.5,4.6,4.3,4.2,209.3,215.3,213.5
Madhya Pradesh,8569,9314,9646,10177,6.1,6.4,6.4,6.9,11.3,12.1,12.4,12.9,8.8,8.4,8.7,306,322.4,332.7
Maharashtra,12803,13212,12935,12264,9.2,9,8.6,8.3,10.9,11.1,10.8,10.1,5.5,5.2,4.6,210.3,217.3,210.9
Manipur,168,139,81,136,0.1,0.1,0.1,0.1,6.6,5.4,3.1,5.2,4.3,4.5,2.6,77.6,57.3,32.7
Meghalaya,141,183,150,182,0.1,0.1,0.1,0.1,5.2,6.7,5.4,6.5,5.7,6.9,2.7,106.3,136.9,69
Mizoram,103,72,70,60,0.1,0,0,0,9.9,6.9,6.6,5.6,7.5,4.8,4.1,105.1,73.2,86.3
Nagaland,81,30,46,41,0.1,0,0,0,3.5,1.3,1.9,1.7,2.5,0.9,1.2,22.1,8.1,12.7
Odisha,3931,4303,4463,4790,2.8,2.9,3,3.2,9.4,10.2,10.5,11.2,8.4,8.2,7.7,138.8,151.7,154.9
Punjab,4621,4893,5077,4463,3.3,3.3,3.4,3,16.2,17,17.4,15.2,7.4,7.8,5.6,443.6,464.4,468.5
Rajasthan,10289,10510,10465,10444,7.4,7.2,6.9,7.1,14.5,14.6,14.3,14.1,9.2,8.5,7.7,426.5,423.5,411.6
Sikkim,59,70,85,78,0,0,0.1,0.1,9.3,10.9,13.1,11.9,14.9,16.2,17.3,90.4,94,103.1
Tamil Nadu,15190,15642,17218,16157,10.9,10.7,11.4,10.9,22.1,22.7,24.8,23.2,7.3,6.9,7.1,597.5,599.1,659.6
Telangana,6906,7110,7219,6596,4.9,4.9,4.8,4.5,NA,NA,NA,NA,9.8,9.1,8.3,748.9,709.2,584.2
Tripura,188,158,173,161,0.1,0.1,0.1,0.1,5,4.2,4.5,4.2,7.3,5.6,5.4,44.9,42.3,43.9
Uttarakhand,878,913,962,942,0.6,0.6,0.6,0.6,8.5,8.7,9,8.8,5.4,5,5.1,145.3,145,157.7
Uttar Pradesh,16287,17666,19320,20124,11.7,12.1,12.8,13.6,7.7,8.2,8.9,9.1,8.5,8.2,8.1,410,425.3,457.4
West Bengal,5875,6234,6544,5769,4.2,4.3,4.3,3.9,6.4,6.7,7,6.1,8.7,8.4,10.1,187.3,210.6,206.6
Andaman & Nicobar Islands,23,23,17,21,0,0,0,0,4.3,4.2,3.1,3.7,2.5,2.2,1.5,174.5,170.1,113.9
Chandigarh,131,129,151,107,0.1,0.1,0.1,0.1,7.9,7.5,8.5,5.8,2.1,1.9,1.8,455,439.5,535.3
Dadra & Nagar Haveli,59,42,46,43,0,0,0,0,14.7,10.1,10.9,9.8,5.7,3.8,4.4,701.5,485.5,405.7
Daman & Diu,15,42,38,36,0,0,0,0,4.9,13.2,11.5,10.5,1.6,4.2,3.6,295.9,804.6,766.7
Delhi,1671,1622,1591,1584,1.2,1.1,1.1,1.1,8.3,7.8,7.5,7.2,2,1.8,1.6,522.3,505.8,902.7
Lakshadweep,0,0,1,0,0,0,0,0,0,0,1.2,0,0,0,0.6,0,0,47.8
Puducherry,151,235,244,233,0.1,0.2,0.2,0.2,9.6,14.5,14.6,13.4,2,2.9,2.8,500,764.9,768.8
Total,139671,146133,150785,147913,100,100,100,100,11.3,11.7,11.9,11.5,7.3,7,6.6,310.2,319.6,320.6
